"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P27361","ERK1","MAPK3","60","0.759","0.177","4.298","0.0000172","0.00338"
"P06493","CDK1","CDK1","94","0.709","0.185","3.825","0.000131","0.0101"
"Q13164","ERK5","MAPK7","4","2.83","0.759","3.731","0.000191","0.0101"
"Q86Z02","HIPK1","HIPK1","1","-4.197","1.131","-3.711","0.000207","0.0101"
"P23443","p70S6K","RPS6KB1","7","1.055","0.298","3.535","0.000408","0.0160"
"Q13177","PAK2","PAK2","5","1.464","0.432","3.392","0.000694","0.0227"
"P49760","CLK2","CLK2","2","-3.397","1.024","-3.317","0.000908","0.0233"
"P24941","CDK2","CDK2","71","0.727","0.22","3.305","0.000951","0.0233"
"Q5TCY1","TTBK1","TTBK1","3","-1.589","0.507","-3.134","0.00172","0.0375"
"P28482","ERK2","MAPK1","90","0.531","0.172","3.086","0.00203","0.0398"
"O15264","P38D","MAPK13","4","1.182","0.398","2.969","0.00299","0.0533"
"P31749","Akt1","AKT1","45","0.58","0.206","2.818","0.00484","0.0789"
"Q05513","PKCZ","PRKCZ","5","-1.422","0.509","-2.792","0.00523","0.0789"
"Q96GD4","AurB","AURKB","19","1.045","0.381","2.742","0.00611","0.0830"
"Q16644","MAPKAPK3","MAPKAPK3","4","0.973","0.36","2.702","0.00690","0.0830"
"P78527","DNAPK","PRKDC","6","1.237","0.464","2.667","0.00766","0.0830"
"Q9NWZ3","IRAK4","IRAK4","3","1.015","0.381","2.664","0.00773","0.0830"
"O95747","OSR1","OXSR1","2","-3.218","1.211","-2.657","0.00790","0.0830"
"Q13188","MST2","STK3","2","-2.505","0.945","-2.65","0.00804","0.0830"
"P17612","PKACA","PRKACA","81","0.489","0.19","2.578","0.00994","0.0974"
"P41743","PKCI","PRKCI","6","1.528","0.601","2.542","0.0110","0.100"
"Q9UBS0","P70S6KB","RPS6KB2","2","0.691","0.274","2.519","0.0118","0.100"
"O14757","Chk1","CHEK1","33","0.71","0.282","2.519","0.0118","0.100"
"Q92630","DYRK2","DYRK2","11","1.113","0.447","2.49","0.0128","0.103"
"P36507","MEK2","MAP2K2","5","0.686","0.278","2.465","0.0137","0.103"
"Q02750","MEK1","MAP2K1","5","0.686","0.278","2.465","0.0137","0.103"
"Q05655","PKCD","PRKCD","16","0.626","0.257","2.436","0.0148","0.108"
"Q13555","CAMK2G","CAMK2G","4","-1.221","0.507","-2.407","0.0161","0.113"
"Q16512","PKN1","PKN1","7","0.84","0.354","2.377","0.0175","0.118"
"P17252","PKCA","PRKCA","56","0.544","0.237","2.298","0.0216","0.141"
"Q00534","CDK6","CDK6","6","0.786","0.35","2.245","0.0248","0.157"
"Q15418","p90RSK","RPS6KA1","20","0.648","0.295","2.197","0.0281","0.172"
"Q8IW41","MAPKAPK5","MAPKAPK5","4","-1.419","0.652","-2.178","0.0294","0.175"
"P22392","NME2","NME2","1","-3.6","1.692","-2.128","0.0333","0.186"
"Q96BR1","SGK3","SGK3","1","1.032","0.485","2.127","0.0334","0.186"
"P45984","JNK2 iso2","MAPK9","12","0.492","0.232","2.118","0.0342","0.186"
"P50613","CDK7","CDK7","4","0.788","0.386","2.04","0.0413","0.219"
"Q13315","ATM","ATM","11","0.903","0.449","2.01","0.0445","0.229"
"P67870","CK2B","CSNK2B","4","-1.448","0.724","-2","0.0455","0.229"
"P78368","CK1G2","CSNK1G2","1","1.599","0.862","1.855","0.0635","0.296"
"Q9HCP0","CK1G1","CSNK1G1","1","1.599","0.862","1.855","0.0635","0.296"
"Q9Y6M4","CK1G3","CSNK1G3","1","1.599","0.862","1.855","0.0635","0.296"
"Q13153","PAK1","PAK1","12","0.559","0.303","1.846","0.0648","0.296"
"P07948","LYN","LYN","3","1.273","0.707","1.8","0.0718","0.320"
"Q96KB5","PBK","PBK","3","0.79","0.444","1.777","0.0756","0.328"
"Q00526","CDK3","CDK3","2","0.428","0.245","1.75","0.0802","0.328"
"Q8TD08","ERK7","MAPK15","2","0.428","0.245","1.75","0.0802","0.328"
"Q16539","P38A","MAPK14","19","0.522","0.3","1.739","0.0820","0.328"
"P45983","JNK1 iso2","MAPK8","14","0.509","0.294","1.729","0.0838","0.328"
"O00418","EEF2K","EEF2K","8","1.031","0.599","1.721","0.0853","0.328"
"P31751","Akt2","AKT2","12","0.519","0.302","1.72","0.0854","0.328"
"Q02156","PKCE","PRKCE","3","0.717","0.422","1.7","0.0891","0.336"
"Q9UEW8","STLK3","STK39","2","2.033","1.214","1.675","0.0940","0.339"
"O76039","CDKL5","CDKL5","2","2.417","1.444","1.673","0.0943","0.339"
"Q5S007","LRRK2","LRRK2","2","1.4","0.839","1.669","0.0951","0.339"
"P05771","PKCB iso2","PRKCB","7","0.888","0.537","1.654","0.0981","0.343"
"P11309","Pim1","PIM1","4","0.884","0.543","1.628","0.104","0.355"
"P78362","SRPK2","SRPK2","1","0.615","0.385","1.598","0.110","0.355"
"Q13976","PKG1 iso2","PRKG1","7","0.516","0.324","1.591","0.112","0.355"
"Q07002","CDK18","CDK18","1","-2.618","1.649","-1.588","0.112","0.355"
"Q9Y3S1","WNK2","WNK2","2","2.073","1.31","1.582","0.114","0.355"
"Q16659","ERK3","MAPK6","1","1.744","1.103","1.581","0.114","0.355"
"O75676","MSK2","RPS6KA4","2","0.935","0.592","1.58","0.114","0.355"
"O14965","AurA","AURKA","9","0.713","0.459","1.554","0.120","0.368"
"P06239","Lck","LCK","2","0.627","0.406","1.544","0.123","0.370"
"P48729","CK1A","CSNK1A1","7","-1.033","0.698","-1.479","0.139","0.413"
"Q00536","CDK16","CDK16","1","0.522","0.36","1.45","0.147","0.414"
"Q9Y463","DYRK1B","DYRK1B","1","0.522","0.36","1.45","0.147","0.414"
"Q15759","P38B","MAPK11","4","0.395","0.273","1.448","0.148","0.414"
"P41279","Cot","MAP3K8","3","0.57","0.395","1.445","0.148","0.414"
"Q9Y243","Akt3","AKT3","8","0.426","0.297","1.437","0.151","0.414"
"O75582","MSK1","RPS6KA5","5","0.481","0.336","1.432","0.152","0.414"
"P49841","GSK3B","GSK3B","33","0.325","0.229","1.42","0.156","0.416"
"Q14289","Pyk2","PTK2B","1","0.944","0.669","1.41","0.158","0.416"
"Q9H4B4","PLK3","PLK3","5","0.394","0.281","1.401","0.161","0.416"
"O94921","CDK14","CDK14","4","0.804","0.574","1.4","0.161","0.416"
"Q04759","PKCT","PRKCQ","2","1.377","1.005","1.37","0.171","0.434"
"P11802","CDK4","CDK4","6","0.735","0.553","1.33","0.184","0.461"
"P53778","P38G","MAPK12","6","-0.474","0.362","-1.31","0.190","0.470"
"O00311","CDC7","CDC7","8","0.519","0.4","1.299","0.194","0.470"
"Q13535","ATR","ATR","5","0.743","0.573","1.297","0.195","0.470"
"P07949","Ret","RET","3","0.363","0.281","1.292","0.197","0.470"
"O14920","IKKB","IKBKB","8","0.701","0.554","1.267","0.205","0.484"
"Q13131","AMPKA1","PRKAA1","23","-0.385","0.314","-1.226","0.220","0.513"
"Q99986","VRK1","VRK1","5","0.565","0.467","1.21","0.226","0.521"
"Q9H2X6","HIPK2","HIPK2","4","0.533","0.445","1.199","0.230","0.525"
"Q9HC98","NEK6","NEK6","4","0.897","0.763","1.176","0.239","0.539"
"Q13882","Brk","PTK6","2","-0.555","0.495","-1.121","0.262","0.584"
"P15056","BRAF","BRAF","3","0.671","0.615","1.091","0.275","0.606"
"O43318","TAK1","MAP3K7","7","0.669","0.626","1.068","0.285","0.621"
"P04049","RAF1","RAF1","2","0.548","0.522","1.05","0.294","0.633"
"P53779","JNK3","MAPK10","3","0.381","0.371","1.028","0.304","0.642"
"P49336","CDK8","CDK8","1","1.678","1.662","1.009","0.313","0.642"
"Q14164","IKKE","IKBKE","3","-0.828","0.825","-1.004","0.316","0.642"
"P07947","Yes","YES1","1","-0.488","0.489","-0.999","0.318","0.642"
"P08581","Met","MET","1","-0.488","0.489","-0.999","0.318","0.642"
"P09769","FGR","FGR","1","-0.488","0.489","-0.999","0.318","0.642"
"O43683","BUB1","BUB1","1","1.623","1.651","0.983","0.325","0.651"
"Q14012","CAMK1A","CAMK1","2","0.57","0.584","0.976","0.329","0.651"
"P24723","PKCH","PRKCH","2","0.763","0.802","0.951","0.341","0.663"
"Q13557","CAMK2D","CAMK2D","2","0.899","0.946","0.951","0.342","0.663"
"Q9H2G2","SLK","SLK","1","-0.718","0.782","-0.919","0.358","0.688"
"P42345","mTOR","MTOR","14","0.364","0.401","0.908","0.364","0.693"
"P49137","MAPKAPK2","MAPKAPK2","14","0.315","0.355","0.888","0.375","0.693"
"O00444","PLK4","PLK4","1","0.978","1.109","0.881","0.378","0.693"
"P48730","CK1D","CSNK1D","2","0.755","0.858","0.88","0.379","0.693"
"O75116","ROCK2","ROCK2","4","0.341","0.389","0.877","0.380","0.693"
"Q15139","PRKD1","PRKD1","11","-0.349","0.403","-0.865","0.387","0.693"
"Q13237","PKG2","PRKG2","6","0.261","0.305","0.856","0.392","0.693"
"P43405","Syk","SYK","3","0.594","0.71","0.837","0.403","0.693"
"O14578","CRIK","CIT","2","0.262","0.314","0.834","0.404","0.693"
"O43293","DAPK3","DAPK3","2","0.262","0.314","0.834","0.404","0.693"
"Q5VT25","MRCKA","CDC42BPA","2","0.262","0.314","0.834","0.404","0.693"
"Q13464","ROCK1","ROCK1","10","0.307","0.375","0.818","0.413","0.693"
"Q12851","GCK","MAP4K2","1","0.455","0.564","0.807","0.419","0.693"
"Q86V86","Pim3","PIM3","1","0.455","0.564","0.807","0.419","0.693"
"Q92918","HPK1","MAP4K1","1","0.455","0.564","0.807","0.419","0.693"
"Q9P1W9","Pim2","PIM2","1","0.455","0.564","0.807","0.419","0.693"
"P53350","PLK1","PLK1","20","0.287","0.357","0.805","0.421","0.693"
"Q9BZL6","PRKD2","PRKD2","3","0.443","0.561","0.789","0.430","0.694"
"O00443","PIK3C2A","PIK3C2A","1","-1.299","1.651","-0.787","0.431","0.694"
"O00141","SGK1","SGK1","15","0.237","0.302","0.785","0.432","0.694"
"P51813","Etk","BMX","2","-0.474","0.617","-0.769","0.442","0.704"
"O15530","PDK1","PDPK1","2","0.47","0.637","0.738","0.461","0.722"
"P21675","TAF1","TAF1","1","0.936","1.283","0.729","0.466","0.722"
"P50750","CDK9","CDK9","6","-0.329","0.452","-0.728","0.467","0.722"
"Q6IQ55","TTBK2","TTBK2","1","1.211","1.668","0.726","0.468","0.722"
"Q9BYP7","WNK3","WNK3","1","1.111","1.578","0.704","0.481","0.737"
"Q9H4A3","WNK1","WNK1","2","1.01","1.55","0.652","0.514","0.782"
"Q13554","CAMK2B","CAMK2B","4","0.375","0.584","0.642","0.521","0.786"
"Q9Y478","AMPKB1","PRKAB1","2","0.327","0.516","0.634","0.526","0.787"
"P52333","JAK3","JAK3","1","1.025","1.649","0.622","0.534","0.793"
"O94806","PRKD3","PRKD3","1","0.435","0.719","0.606","0.545","0.799"
"Q15746","smMLCK","MYLK","4","0.192","0.323","0.595","0.552","0.799"
"P19784","CK2A2","CSNK2A2","10","-0.217","0.371","-0.585","0.558","0.799"
"O60285","NuaK1","NUAK1","1","0.49","0.845","0.579","0.562","0.799"
"Q9H093","NuaK2","NUAK2","1","0.49","0.845","0.579","0.562","0.799"
"O95835","LATS1","LATS1","3","0.303","0.533","0.568","0.570","0.799"
"Q9UHD2","TBK1","TBK1","4","0.414","0.733","0.565","0.572","0.799"
"P06213","INSR","INSR","3","0.474","0.84","0.565","0.572","0.799"
"P49674","CK1E","CSNK1E","2","0.493","0.879","0.561","0.575","0.799"
"Q9NYV4","CDK12","CDK12","3","-0.339","0.624","-0.543","0.587","0.805"
"Q9Y2H1","NDR2","STK38L","1","0.897","1.654","0.542","0.588","0.805"
"Q13627","DYRK1A","DYRK1A","4","0.266","0.496","0.536","0.592","0.806"
"Q96J92","WNK4","WNK4","2","1.043","1.982","0.526","0.599","0.809"
"P51955","NEK2","NEK2","3","0.457","0.974","0.469","0.639","0.849"
"O15111","IKKA","CHUK","3","0.453","0.973","0.465","0.642","0.849"
"P68400","CK2A1","CSNK2A1","67","0.111","0.24","0.462","0.644","0.849"
"P53355","DAPK1","DAPK1","4","0.16","0.368","0.435","0.663","0.849"
"P51812","RSK2","RPS6KA3","13","0.146","0.337","0.434","0.664","0.849"
"Q9P0L2","MARK1","MARK1","6","0.329","0.766","0.43","0.667","0.849"
"Q13043","MST1","STK4","2","0.393","0.945","0.416","0.677","0.849"
"Q96GX5","MASTL","MASTL","1","0.699","1.685","0.415","0.678","0.849"
"P54646","AMPKA2","PRKAA2","8","-0.163","0.401","-0.407","0.684","0.849"
"P00533","EGFR","EGFR","10","0.144","0.356","0.405","0.685","0.849"
"P11362","FGFR1","FGFR1","1","0.336","0.832","0.403","0.687","0.849"
"Q8N5S9","CAMKK1","CAMKK1","1","-0.44","1.118","-0.393","0.694","0.849"
"Q96RR4","CAMKK2","CAMKK2","1","-0.44","1.118","-0.393","0.694","0.849"
"Q9NYY3","PLK2","PLK2","1","0.412","1.066","0.386","0.699","0.849"
"Q7KZI7","MARK2","MARK2","10","0.177","0.458","0.386","0.699","0.849"
"P12931","Src","SRC","25","0.116","0.301","0.384","0.701","0.849"
"Q6P5Z2","PKN3","PKN3","2","0.349","0.911","0.383","0.702","0.849"
"Q8TAS1","KIS","UHMK1","2","-0.415","1.181","-0.351","0.725","0.872"
"Q15208","NDR1","STK38","3","0.231","0.673","0.344","0.731","0.873"
"Q9UQM7","CAMK2A","CAMK2A","15","0.128","0.412","0.309","0.757","0.899"
"Q96SB4","SRPK1","SRPK1","1","-0.364","1.239","-0.294","0.769","0.907"
"Q02779","MLK2","MAP3K10","1","0.385","1.484","0.26","0.795","0.912"
"O75385","ULK1","ULK1","1","0.424","1.667","0.254","0.799","0.912"
"P49840","GSK3A","GSK3A","10","0.086","0.339","0.254","0.799","0.912"
"O96017","Chk2","CHEK2","3","-0.178","0.745","-0.239","0.811","0.912"
"Q00535","CDK5","CDK5","28","-0.061","0.256","-0.239","0.811","0.912"
"P42684","Arg","ABL2","2","0.239","1.016","0.235","0.814","0.912"
"Q86Y07","VRK2","VRK2","1","0.391","1.666","0.235","0.814","0.912"
"Q9UGJ0","AMPKG2","PRKAG2","1","0.181","0.839","0.215","0.829","0.912"
"P57059","SIK","SIK1","1","-0.185","0.863","-0.214","0.830","0.912"
"Q9H0K1","QIK","SIK2","1","-0.185","0.863","-0.214","0.830","0.912"
"P08631","Hck","HCK","1","-0.097","0.492","-0.198","0.843","0.912"
"P30530","AXL","AXL","1","-0.097","0.492","-0.198","0.843","0.912"
"Q12866","Mer","MERTK","1","-0.097","0.492","-0.198","0.843","0.912"
"Q9NRM7","LATS2","LATS2","1","0.132","0.679","0.195","0.846","0.912"
"Q8IWQ3","BRSK2","BRSK2","1","0.215","1.109","0.194","0.846","0.912"
"P43250","GRK6","GRK6","1","-0.329","1.7","-0.194","0.847","0.912"
"Q9BWU1","CDK19","CDK19","1","-0.289","1.684","-0.172","0.864","0.916"
"Q16584","MLK3","MAP3K11","2","0.173","1.009","0.171","0.864","0.916"
"Q9Y572","RIPK3","RIPK3","1","-0.283","1.664","-0.17","0.865","0.916"
"P00519","Abl","ABL1","5","0.103","0.646","0.159","0.874","0.921"
"Q9HBH9","Mnk2","MKNK2","1","-0.229","1.637","-0.14","0.889","0.931"
"P33981","TTK","TTK","1","0.148","1.221","0.121","0.904","0.942"
"O60674","JAK2","JAK2","4","0.026","0.396","0.067","0.947","0.981"
"O95819","HGK","MAP4K4","1","-0.152","3.257","-0.047","0.963","0.981"
"Q8N4C8","MINK","MINK1","1","-0.152","3.257","-0.047","0.963","0.981"
"Q9UKE5","TNIK","TNIK","1","-0.152","3.257","-0.047","0.963","0.981"
"P35269","GTF2F1","GTF2F1","1","0.042","0.966","0.043","0.966","0.981"
"P06241","Fyn","FYN","4","0.009","0.575","0.016","0.987","0.996"
"P35968","VEGFR2","KDR","1","0.01","1.052","0.009","0.993","0.996"
"P27448","MARK3 iso3","MARK3","1","-0.004","0.912","-0.005","0.996","0.996"